word,article,english,example
gestern,,add English meaning,Ich bin erst gestern zurückgekommen.
gesund,,add English meaning,Ich hatte Grippe. Jetzt bin ich wieder gesund.
Gesundheit,die,add English meaning,Sie müssen mehr auf Ihre Gesundheit achten.
Getränk,das,add English meaning,Besorgst du bitte die Getränke?
Gewalt,die,add English meaning,"Ich mag keine Filme, in denen Gewalt vorkommt."
Gewerkschaft,die,add English meaning,Die Gewerkschaft vertritt die Interessen der Arbeitnehmer.
Gewicht,das,add English meaning,Wie teuer ist das Päckchen? – Das hängt vom Gewicht ab.
gewinnen,,add English meaning,Ich möchte so gern einmal im Lotto gewinnen.
Gewinn,der,add English meaning,Ich habe bei einem Ratespiel mitge macht. Der Hauptgewinn ist ein Auto.
Gewissen,das,add English meaning,Ich habe deinen Geburtstag vergessen. Ich habe ein ganz schlechtes Gewissen.
Gewitter,das,add English meaning,Wir haben uns an das Leben hier gewöhnt.
gewöhnt/ist gewöhnt,,add English meaning,"Ich bin daran gewöhnt, früh aufzustehen."
Gewohnheit,die,add English meaning,"Er hat die Gewohnheit, morgens zuerst die Post zu erledigen."
gewohnt,,add English meaning,"Ich bin gewohnt, früh ins Bett zu gehen."
gewöhnlich,,add English meaning,Um die Zeit ist er gewöhnlich zu Hause.
Gewürz,das,add English meaning,Von den scharfen Gewürzen bekommt man Durst.
gießen,,add English meaning,Es hat nicht geregnet. Ich muss meine Blumen gießen.
Gift,das,add English meaning,"Vorsicht, das Gift dieser Pflanze ist für Menschen gefährlich! giftig Vorsicht, das ist giftig!"
giftig,,add English meaning,Das Wort 'giftig' ist nützlich.
Gitarre,die,add English meaning,Ich spiele seit drei Jahren Gitarre.
die/das Glace/Glacé,,add English meaning,Dieses Wort heißt 'die'.
Glas,das,add English meaning,"Vorsicht, die Kanne ist aus Glas!"
glatt,,add English meaning,Fahr vorsichtig! Es ist glatt.
glauben,,add English meaning,"Ich glaube, der Chef ist heute nicht im Büro."
gleich,,add English meaning,'gleich' kommt in vielen Texten vor.
gleichfalls,,add English meaning,Dieses Wort heißt 'gleichfalls'.
gleichberechtigt,,add English meaning,Ich wiederhole heute 'gleichberechtigt'.
gleichzeitig,,add English meaning,Ich übe das Wort 'gleichzeitig'.
Gleis,das,add English meaning,Der Zug fährt heute von Gleis 7 ab.
Glück,das,add English meaning,Du hast dich nicht verletzt. Da hast du Glück gehabt.
glücklich,,add English meaning,'glücklich' kommt in vielen Texten vor.
Glückwunsch,der,add English meaning,"¨-e Herzlichen Glückwunsch zum Geburtstag! Ist der Ring aus Gold? Nein, der sieht nur so aus. Kannst du Golf spielen?"
Gold Golf,das,add English meaning,Das Gold Golf ist heute wichtig.
Gott,der,add English meaning,Glaubst du an Gott?
Grafik,die,add English meaning,Die Grafik zeigt die Temperaturen im letzten Jahr.
Gras,das,add English meaning,Wir lagen den ganzen Tag im Gras.
gratulieren,,add English meaning,Ich gratuliere euch zur Geburt eurer Tochter.
Gratulation,die,add English meaning,Herzliche Gratulation! Sie haben gewonnen!
gratis,,add English meaning,"Diese Reparatur kostet Sie gar nichts, wir machen das gratis für Sie."
greifen,,add English meaning,Greifen Sie doch zu!
Grenze,die,add English meaning,An der Grenze musst du deinen Ausweis zeigen.
grillen,,add English meaning,Heute wollen wir im Garten grillen.
grillieren,,add English meaning,Heute wollen wir im Garten grillieren.
Grill,der,add English meaning,Kannst du mir deinen Grill leihen? Wir wollen am Wochenende ein Picknick machen.
Grippe,die,add English meaning,Ich habe eine Grippe und kann leider nicht kommen.
groß Großdie Größe,,add English meaning,Wir haben einen großen Garten.
gründen,,add English meaning,Frau Bauer hat eine eigene Firma gegründet.
Grund,der,add English meaning,Sie haben Ihre Stelle gekündigt. Aus welchem Grund?
gründlich,,add English meaning,"Ich möchte die Wohnung gründlich reinigen, bevor der Besuch kommt."
Grundstück,das,add English meaning,Wir wollen ein Haus bauen und suchen ein günstiges Grundstück.
Gruppe,die,add English meaning,Für Gruppen gibt es eine Ermäßigung.
grüßen,,add English meaning,"Wer war die Frau, die du eben gegrüßt hast?"
Gruß,der,add English meaning,Der Gruß ist heute wichtig.
gucken,,add English meaning,Guck doch mal! Es schneit.
gültig,,add English meaning,Mein Pass ist nur noch zwei Monate gültig.
Haar,das,add English meaning,Meine Freundin hat langes schwarzes Haar.
günstig,,add English meaning,Ich suche eine günstige Ferienwohnung.
haben,,add English meaning,Ich übe das Verb 'haben'.
gut,,add English meaning,Ich kenne ein gutes Lokal.
Gymnastik,die,add English meaning,Ich mache jeden Morgen Gymnastik.
Hackfleisch A: Faschierte,das,add English meaning,Das Hackfleisch A: Faschierte ist ein nützliches Wort.
Hafen,der,add English meaning,"Wenn du in Hamburg bist, musst du dir unbedingt den Hafen ansehen. Bei Gewitter kann es auch hageln."
Hähnchen/Hühnchen,das,add English meaning,Zum Mittagessen gibt es Hühnchen mit Reis.
halb,,add English meaning,Treffen wir uns um halb neun?
Halbpension,die,add English meaning,Wir möchten ein Hotel mit Halbpension.
halbtags,,add English meaning,Ich habe ein kleines Kind und kann nicht acht Stunden am Tag arbeiten. Deshalb möchte ich halbtags arbeiten.
Hälfte,die,add English meaning,Bitte teilt euch die Schokolade. Jeder bekommt die Hälfte.
Halle,die,add English meaning,Die Stadt baut eine neue Sporthalle.
Hallenbad,das,add English meaning,Sie geht jeden Tag zum Schwimmen ins Hallenbad.
hallo,,add English meaning,"Hallo, wie geht’s? − Danke, gut, und dir?"
Hals,der,add English meaning,Mir tut der Hals weh.
halt,,add English meaning,Es gibt leider keine Karten mehr. – Schade. Da kann man nichts machen. Das ist halt so.
haltbar,,add English meaning,Diese Tomaten sind mindestens 2 Wochen haltbar.
halten,,add English meaning,Kannst du mal kurz meine Handtasche halten?
Halt,der,add English meaning,Der Halt kommt in der Prüfung vor.
Haltestelle,die,add English meaning,", -n An der nächsten Haltestelle müssen wir aussteigen."
Hammer,der,add English meaning,Wasch dir bitte die Hände vor dem Essen.
Handwerker,der,add English meaning,Morgen sind bei uns die Handwerker. Wir bekommen eine neue Badewanne.
handeln,,add English meaning,Herr Huber hat ein kleines Geschäft. Er handelt mit Obst und Gemüse.
Handel,der,add English meaning,Der Handel kommt in der Prüfung vor.
Händler,der,add English meaning,Der Händler ist ein nützliches Wort.
Handy,das,add English meaning,"Ich habe kein Festnetztelefon, aber ein Handy."
hängen,,add English meaning,Das Bild hängt schief.
hart,,add English meaning,Das Bett im Hotel war mir zu hart.
hassen,,add English meaning,Ich hasse Autofahren.
hässlich,,add English meaning,Das ist aber eine hässliche Lampe!
häufig Hauptdie Hauptstadt,,add English meaning,Haben Sie häufig Kopfschmerzen? Dann sollten Sie nicht so lange am Computer sitzen. -e Berlin ist die Hauptstadt von Deutschland.
Hauptbahnhof,der,add English meaning,Treffen wir uns am Hauptbahnhof?
Haus,das,add English meaning,Wir haben ein Haus gemietet.
Hausaufgabe,die,add English meaning,Kannst du mir bei den Hausaufgaben helfen?
Hausfrau/der Hausmann,die,add English meaning,Meine Frau ist Hausfrau und kümmert sich um die Kinder./Mein Mann ist Hausmann und kümmert sich um die Kinder.
Haushalt,der,add English meaning,"Ich kümmere mich um den Haushalt, d. h. ich putze, wasche, koche etc."
Hausmeister,der,add English meaning,Der Hausmeister ist heute wichtig.
Haut,die,add English meaning,Haben Sie eine Creme für trockene Haut?
heben,,add English meaning,Kannst du mir helfen? Das Paket kann ich allein nicht heben.
Heft,das,add English meaning,Ich hätte gern ein Schreibheft.
heim,,add English meaning,Ich will jetzt heim.
Heim,das,add English meaning,Meine Oma wohnt in einem Seniorenheim.
Heimat,die,add English meaning,Ich lebe jetzt hier in Deutschland. Das ist meine neue Heimat.
heimlich,,add English meaning,"Gestern habe ich gehört, dass mein Sohn heimlich raucht."
Heimweh,das,add English meaning,Ich habe oft Heimweh nach meiner Familie.
heiraten,,add English meaning,Unsere Freunde heiraten nächsten Monat in Italien.
heiß,,add English meaning,Für die Jahreszeit ist es zu heiß.
heißen,,add English meaning,Das Verb 'heißen' ist wichtig.
heizen,,add English meaning,Wir heizen mit Öl.
Heizung,die,add English meaning,Es ist kalt. Ist die Heizung kaputt?
Held,der,add English meaning,Er spielt gern den Helden.
Heldin,die,add English meaning,Sie ist die Heldin des Tages.
helfen,,add English meaning,Kannst du mir helfen? Ich muss nächsten Monat umziehen.
Hilfe,die,add English meaning,Die Hilfe kommt in der Prüfung vor.
hell,,add English meaning,Im Sommer wird es um 5 Uhr schon hell.
Hemd,das,add English meaning,Nikos trägt heute ein weißes Hemd.
Hendl,das,add English meaning,D: Zum Mittagessen gibt es Hendl mit Reis.
her/herheraus,,add English meaning,"Wir haben uns lange nicht gesehen. – Ja, das ist wirklich lange her."
heraus,,add English meaning,'heraus' kommt in vielen Texten vor.
Herausforderung,die,add English meaning,Das Spiel ist eine Herausforderung.
Herd,der,add English meaning,In der neuen Küche fehlt noch der Herd.
herein,,add English meaning,Kommt doch herein! Viele Leute fragen mich nach meiner Herkunft.
Herr,der,add English meaning,"Da ist ein Herr, der möchte Sie sprechen."
herstellen,,add English meaning,In unserer Firma stellen wir Schokolade her.
Hersteller,der,add English meaning,Der Hersteller ist ein nützliches Wort.
herunter,,add English meaning,Ich wiederhole heute 'herunter'.
Herz,das,add English meaning,Ich bin ganz nervös. Mir klopft das Herz.
herzlich,,add English meaning,Herzlichen Glückwunsch!
heute,,add English meaning,Heute kann ich etwas früher nach Hause gehen.
heutighier/hierhierher,,add English meaning,Dieses Wort heißt 'heutighier'.
Himmel runterwerfen,der,add English meaning,Wir hatten im Urlaub so tolles Wetter. Immer Sonne und blauer Himmel. Kannst du mir bitte den Schlüssel runterwerfen? Ich habe meinen vergessen.
hinten,,add English meaning,Wo möchtest du sitzen? Hinten oder vorne?
hinter/hinterhinterlassen,,add English meaning,Hinter dem Haus haben wir einen Garten.
hinterher,,add English meaning,Vor der Prüfung habe ich so viel gelernt. Hinterher habe ich vieles wieder vergessen.
hinweisen,,add English meaning,"Wir möchten Sie darauf hinweisen, dass das Rauchen am Bahnsteig nicht gestattet ist."
Hinweise,der,add English meaning,e Die Polizei hat viele Hinweise zum Unfall bekommen. Wir waren mit unserer Klasse im Historischen Museum.
historisch,,add English meaning,Ich übe das Wort 'historisch'.
Hitze,die,add English meaning,Gestern war eine schreckliche Hitze!
Hobby,das,add English meaning,Ich habe keine Zeit mehr für meine Hobbys.
hoch,,add English meaning,Der Berg ist fast 3000 m hoch.
Höhe,die,add English meaning,"Mein Tisch hat folgende Maße: Länge: 1,20 m, Breite: 0,60 m, Höhe: 0,80 m."
hochladen,,add English meaning,Kannst du bitte die Datei für die Hausaufgabe hochladen?
höchstens,,add English meaning,Ich habe wenig Zeit. Ich kann höchstens eine Viertelstunde bleiben.
Hochzeit,die,add English meaning,Claudia und Peter wollen ihre Hochzeit groß feiern.
Hof,der,add English meaning,Die Kinder spielen am liebsten im Hof.
Bauernhof,der,add English meaning,Meine Großeltern hatten einen Bauernhof.
hoffen,,add English meaning,"Ich hoffe, dass ihr zu meinem Geburtstag kommen könnt."
hoffentlich,,add English meaning,Das Wort 'hoffentlich' ist nützlich.
Hoffnung,die,add English meaning,n Man darf die Hoffnung nicht verlieren.
höflich,,add English meaning,Unser Nachbar ist sehr höflich. Er sagt immer als Erster Guten Tag.
holen,,add English meaning,Soll ich uns was zu trinken holen?
Holz,das,add English meaning,Möchten Sie ein Regal aus Holz oder aus Metall?
Honig,der,add English meaning,Ich esse gern Brötchen mit Honig und Butter zum Frühstück.
hören,,add English meaning,Ich kann nicht mehr so gut hören.
Hörer,der,add English meaning,Der Hörer ist ein nützliches Wort.
ideal,,add English meaning,Eine Wohnung mit Garten wäre für uns ideal.
Hörerin,die,add English meaning,Die Hörerin ist heute wichtig.
Zuhörer,der,add English meaning,Der Zuhörer steht auf meiner Liste.
Hose,die,add English meaning,Können Sie die Hose etwas kürzer machen?
Idee,die,add English meaning,Du willst ein Picknick machen? Ich finde die Idee toll.
Hotel,das,add English meaning,Im Urlaub sind wir in einem Hotel am Meer.
illegal,,add English meaning,"Ohne Steuerkarte zu arbeiten ist illegal. Wenn es herauskommt, musst du Strafe zahlen."
hübsch,,add English meaning,Wir haben eine hübsche Wohnung gefunden.
Imbiss,der,add English meaning,A: Es ist Zeit für einen kleinen Imbiss.
Hügel,der,add English meaning,"Wir mögen Paul, weil er so viel Humor hat."
Hunger,der,add English meaning,"Möchtest du Suppe? – Nein danke, ich habe keinen Hunger."
hungrig,,add English meaning,Ich bin sehr hungrig.
hupen,,add English meaning,Hier ist ein Krankenhaus. Hier darfst du nicht hupen.
husten,,add English meaning,Der Junge hat die ganze Nacht gehustet.
Husten,der,add English meaning,Haben Sie ein Medikament gegen Husten?
Hut,der,add English meaning,Sie sollten im Sommer nicht ohne Hut in die Sonne gehen.
Hütte,die,add English meaning,Wir übernachten in der Hütte auf dem Berg.
immer,,add English meaning,Frau Bast kommt immer zu spät.
Import,der,add English meaning,"Im dritten Stock ist die Firma Schmidt & Co, Import und Export."
in,,add English meaning,Ich wohne in Frankfurt.
indem,,add English meaning,"Du kannst die Datei öffnen, indem du hier klickst."
individuell,,add English meaning,"Die Lehrerin versucht, jedes Kind individuell zu fördern."
Industrie,die,add English meaning,In dieser Gegend gibt es viel Industrie.
Infektion,die,add English meaning,Sie haben eine Infektion. Sie müssen Tabletten nehmen.
informieren,,add English meaning,Wir informieren Sie rechtzeitig über die neuen Prüfungstermine.
Information,die,add English meaning,Bitte lesen Sie diese Informationen genau.
Ingenieur,der,add English meaning,Hans will Bauingenieur werden.
Inhalt,der,add English meaning,Geben Sie den Inhalt der Packung in einen Liter kochendes Wasser.
inklusive,,add English meaning,Der Zimmerpreis ist inklusive Frühstück.
innen,,add English meaning,Der Lichtschalter ist innen links.
innerinnerhalb,,add English meaning,Ich wiederhole heute 'innerinnerhalb'.
Insel,die,add English meaning,Ich würde dieses Mal gern auf einer Insel Ferien machen.
Inserat,das,add English meaning,Was kostet ein Inserat in der Zeitung?
insgesamt,,add English meaning,Insgesamt haben sich 20 Teilnehmer für die Prüfung angemeldet.
installieren,,add English meaning,"Können Sie mir helfen, meinen Computer zu installieren?"
Institut,das,add English meaning,Ich besuche einen Sprachkurs in einem kleinen Sprachinstitut.
Instrument,das,add English meaning,Ich spiele Klavier. Spielen Sie auch ein Musikinstrument?
integrieren,,add English meaning,Sie ist schon sehr gut im Team integriert.
