word,article,english,example
Gymnastik,die,gymnastics; exercise,Ich mache jeden Morgen Gymnastik.
Hackfleisch/Faschiertes,das,minced meat; ground meat,Das Hackfleisch ist ein nützliches Wort.
Hafen,der,harbor; port,"Wenn du in Hamburg bist, musst du dir unbedingt den Hafen ansehen."
Hähnchen/Hühnchen,das,chicken,Zum Mittagessen gibt es Hühnchen mit Reis.
halb,,half,Treffen wir uns um halb neun?
Halbpension,die,half board,Wir möchten ein Hotel mit Halbpension.
halbtags,,part-time,Ich habe ein kleines Kind und kann nicht acht Stunden am Tag arbeiten. Deshalb möchte ich halbtags arbeiten.
Hälfte,die,half,Bitte teilt euch die Schokolade. Jeder bekommt die Hälfte.
Halle,die,hall,Die Stadt baut eine neue Sporthalle.
Hallenbad,das,indoor swimming pool,Sie geht jeden Tag zum Schwimmen ins Hallenbad.
hallo,,hello,"Hallo, wie geht’s? − Danke, gut, und dir?"
Hals,der,throat; neck,Mir tut der Hals weh.
halt,,just; simply,Es gibt leider keine Karten mehr. – Schade. Da kann man nichts machen. Das ist halt so.
haltbar,,durable; good until,Diese Tomaten sind mindestens 2 Wochen haltbar.
halten,,to hold,Kannst du mal kurz meine Handtasche halten?
Halt,der,stop; support,Der Halt kommt in der Prüfung vor.
Haltestelle,die,stop; station,An der nächsten Haltestelle müssen wir aussteigen.
Hammer,der,hammer,Ich brauche einen Hammer.
Handwerker,der,craftsperson; tradesperson,Morgen sind bei uns die Handwerker. Wir bekommen eine neue Badewanne.
handeln,,to trade; to deal,Herr Huber hat ein kleines Geschäft. Er handelt mit Obst und Gemüse.
Handel,der,trade; commerce,Der Handel kommt in der Prüfung vor.
Händler,der,dealer; merchant,Der Händler ist ein nützliches Wort.
Handy,das,mobile phone; cell phone,"Ich habe kein Festnetztelefon, aber ein Handy."
hängen,,to hang,Das Bild hängt schief.
hart,,hard,Das Bett im Hotel war mir zu hart.
hassen,,to hate,Ich hasse Autofahren.
hässlich,,ugly,Das ist aber eine hässliche Lampe!
häufig,,often; frequent,Haben Sie häufig Kopfschmerzen?
Hauptbahnhof,der,main train station,Treffen wir uns am Hauptbahnhof?
Haus,das,house,Wir haben ein Haus gemietet.
Hausaufgabe,die,homework,Kannst du mir bei den Hausaufgaben helfen?
Hausfrau/Hausmann,die,housewife; househusband,Meine Frau ist Hausfrau und kümmert sich um die Kinder./Mein Mann ist Hausmann und kümmert sich um die Kinder.
Haushalt,der,household,"Ich kümmere mich um den Haushalt, d. h. ich putze, wasche, koche etc."
Hausmeister,der,caretaker; building manager,Der Hausmeister ist heute wichtig.
Haut,die,skin,Haben Sie eine Creme für trockene Haut?
heben,,to lift,Kannst du mir helfen? Das Paket kann ich allein nicht heben.
Heft,das,notebook,Ich hätte gern ein Schreibheft.
heim,,home,Ich will jetzt heim.
Heim,das,home; residence,Meine Oma wohnt in einem Seniorenheim.
Heimat,die,homeland; home,Ich lebe jetzt hier in Deutschland. Das ist meine neue Heimat.
heimlich,,secretly,"Gestern habe ich gehört, dass mein Sohn heimlich raucht."
Heimweh,das,homesickness,Ich habe oft Heimweh nach meiner Familie.
heiraten,,to marry,Unsere Freunde heiraten nächsten Monat in Italien.
heiß,,hot,Für die Jahreszeit ist es zu heiß.
heißen,,to be called; to mean,Das Verb 'heißen' ist wichtig.
heizen,,to heat,Wir heizen mit Öl.
Heizung,die,heating,Es ist kalt. Ist die Heizung kaputt?
Held,der,hero,Er spielt gern den Helden.
Heldin,die,heroine,Sie ist die Heldin des Tages.
helfen,,to help,Kannst du mir helfen? Ich muss nächsten Monat umziehen.
Hilfe,die,help,Die Hilfe kommt in der Prüfung vor.
hell,,bright; light,Im Sommer wird es um 5 Uhr schon hell.
Hemd,das,shirt,Nikos trägt heute ein weißes Hemd.
Hendl,das,chicken,D: Zum Mittagessen gibt es Hendl mit Reis.
her,,ago,"Wir haben uns lange nicht gesehen. – Ja, das ist wirklich lange her."
heraus,,out; outside,'heraus' kommt in vielen Texten vor.
Herausforderung,die,challenge,Das Spiel ist eine Herausforderung.
Herd,der,stove; cooker,In der neuen Küche fehlt noch der Herd.
herein,,in; come in,Kommt doch herein!
Herr,der,gentleman; Mr.,"Da ist ein Herr, der möchte Sie sprechen."
herstellen,,to manufacture; to produce,In unserer Firma stellen wir Schokolade her.
Hersteller,der,manufacturer,Der Hersteller ist ein nützliches Wort.
herunter,,down; downward,Ich wiederhole heute 'herunter'.
Herz,das,heart,Ich bin ganz nervös. Mir klopft das Herz.
herzlich,,heartfelt; cordial,Herzlichen Glückwunsch!
heute,,today,Heute kann ich etwas früher nach Hause gehen.
heutig/hier,,today’s; here,Dieses Wort heißt heutig.
Himmel,der,sky; heaven,Wir hatten im Urlaub so tolles Wetter. Immer Sonne und blauer Himmel.
hinten,,at the back; behind,Wo möchtest du sitzen? Hinten oder vorne?
hinter,,behind,Hinter dem Haus haben wir einen Garten.
hinterher,,afterward,Vor der Prüfung habe ich so viel gelernt. Hinterher habe ich vieles wieder vergessen.
hinweisen,,to point out; to indicate,"Wir möchten Sie darauf hinweisen, dass das Rauchen am Bahnsteig nicht gestattet ist."
Hinweis,der,clue; notice; hint,Die Polizei hat viele Hinweise zum Unfall bekommen.
historisch,,historical,Ich übe das Wort 'historisch'.
Hitze,die,heat,Gestern war eine schreckliche Hitze!
Hobby,das,hobby,Ich habe keine Zeit mehr für meine Hobbys.
hoch,,high; tall,Der Berg ist fast 3000 m hoch.
Höhe,die,height,"Mein Tisch hat folgende Maße: Länge: 1,20 m, Breite: 0,60 m, Höhe: 0,80 m."
hochladen,,to upload,Kannst du bitte die Datei für die Hausaufgabe hochladen?
höchstens,,at most,Ich habe wenig Zeit. Ich kann höchstens eine Viertelstunde bleiben.
Hochzeit,die,wedding,Claudia und Peter wollen ihre Hochzeit groß feiern.
Hof,der,yard; courtyard,Die Kinder spielen am liebsten im Hof.
Bauernhof,der,farm,Meine Großeltern hatten einen Bauernhof.
hoffen,,to hope,"Ich hoffe, dass ihr zu meinem Geburtstag kommen könnt."
hoffentlich,,hopefully,Das Wort 'hoffentlich' ist nützlich.
Hoffnung,die,hope,Man darf die Hoffnung nicht verlieren.
höflich,,polite,Unser Nachbar ist sehr höflich. Er sagt immer als Erster Guten Tag.
holen,,to fetch; to get,Soll ich uns was zu trinken holen?
Holz,das,wood,Möchten Sie ein Regal aus Holz oder aus Metall?
Honig,der,honey,Ich esse gern Brötchen mit Honig und Butter zum Frühstück.
hören,,to hear,Ich kann nicht mehr so gut hören.
Hörer,der,receiver; listener,Der Hörer ist ein nützliches Wort.
ideal,,ideal,Eine Wohnung mit Garten wäre für uns ideal.
Hörerin,die,female listener,Die Hörerin ist heute wichtig.
Zuhörer,der,listener,Der Zuhörer steht auf meiner Liste.
Hose,die,pants; trousers,Können Sie die Hose etwas kürzer machen?
Idee,die,idea,Du willst ein Picknick machen? Ich finde die Idee toll.
Hotel,das,hotel,Im Urlaub sind wir in einem Hotel am Meer.
illegal,,illegal,"Ohne Steuerkarte zu arbeiten ist illegal. Wenn es herauskommt, musst du Strafe zahlen."
hübsch,,pretty; nice,Wir haben eine hübsche Wohnung gefunden.
Imbiss,der,snack; snack bar,A: Es ist Zeit für einen kleinen Imbiss.
Hügel,der,hill,Wir wandern über einen kleinen Hügel.
Hunger,der,hunger,"Möchtest du Suppe? – Nein danke, ich habe keinen Hunger."
hungrig,,hungry,Ich bin sehr hungrig.
hupen,,to honk,Hier ist ein Krankenhaus. Hier darfst du nicht hupen.
husten,,to cough,Der Junge hat die ganze Nacht gehustet.
Husten,der,cough,Haben Sie ein Medikament gegen Husten?
Hut,der,hat,Sie sollten im Sommer nicht ohne Hut in die Sonne gehen.
Hütte,die,hut; cabin,Wir übernachten in der Hütte auf dem Berg.
immer,,always,Frau Bast kommt immer zu spät.
Import,der,import,"Im dritten Stock ist die Firma Schmidt & Co, Import und Export."
in,,in,Ich wohne in Frankfurt.
indem,,by; by means of,"Du kannst die Datei öffnen, indem du hier klickst."
individuell,,individual; individually,"Die Lehrerin versucht, jedes Kind individuell zu fördern."
Industrie,die,industry,In dieser Gegend gibt es viel Industrie.
Infektion,die,infection,Sie haben eine Infektion. Sie müssen Tabletten nehmen.
informieren,,to inform,Wir informieren Sie rechtzeitig über die neuen Prüfungstermine.
Information,die,information,Bitte lesen Sie diese Informationen genau.
Ingenieur,der,engineer,Hans will Bauingenieur werden.
Inhalt,der,content,Geben Sie den Inhalt der Packung in einen Liter kochendes Wasser.
inklusive,,including; included,Der Zimmerpreis ist inklusive Frühstück.
innen,,inside,Der Lichtschalter ist innen links.
innerhalb,,within; inside,Ich wiederhole heute innerhalb.
Insel,die,island,Ich würde dieses Mal gern auf einer Insel Ferien machen.
Inserat,das,advertisement; classified ad,Was kostet ein Inserat in der Zeitung?
insgesamt,,in total; altogether,Insgesamt haben sich 20 Teilnehmer für die Prüfung angemeldet.
installieren,,to install,"Können Sie mir helfen, meinen Computer zu installieren?"
Institut,das,institute,Ich besuche einen Sprachkurs in einem kleinen Sprachinstitut.
Instrument,das,instrument,Ich spiele Klavier. Spielen Sie auch ein Musikinstrument?
integrieren,,to integrate,Sie ist schon sehr gut im Team integriert.
Integration,die,integration,Gute Deutschkenntnisse sollen bei der Integration helfen.
intelligent,,intelligent,Maria ist sehr intelligent. Sie kann sehr gut rechnen.
Intelligenz,die,intelligence,Meine Kinder haben in der Schule einen Intelligenztest gemacht.
intensiv,,intensive; intensely,Ich möchte intensiv Deutsch lernen.
Intensivkurs,der,intensive course,Der Intensivkurs findet täglich von 9 bis 12 Uhr statt.
interessieren,,to interest,Das Thema Kindererziehung interessiert mich sehr.
interessant,,interesting,Ich habe einen interessanten Bericht gelesen.
Interesse,das,interest,Das Interesse passt gut zu diesem Thema.
interessiert,,interested,Mein Nachbar zieht nächsten Monat aus. Sind Sie noch an der Wohnung interessiert?
interkulturell,,intercultural,Wir haben in der Sprachschule ein interkulturelles Fest gefeiert.
international,,international,'international' kommt in vielen Texten vor.
Interview,das,interview,Ich habe im Fernsehen ein interessantes Interview mit zwei Schauspielern gesehen.
inzwischen,,meanwhile; in the meantime,Herr Müller kommt gleich zurück. Sie können inzwischen in seinem Büro warten.
ja,,yes,Sind Sie verheiratet? – Ja.
irgendein,,some; any; some kind of,Ich kann irgendein in einem Satz benutzen.
irgendwann,,sometime; at some point,'irgendwann' kommt in vielen Texten vor.
Jacke,die,jacket,Zieh dir eine Jacke an. Es ist kalt.
sich irren,,to be mistaken,Ich irrte mich.
je,,each; depending on,Die Pullover kosten je nach Qualität zwischen 40 und 60 Euro.
je … desto …,,the more ... the more ...,Ich kann 'je … desto …' in einem Satz benutzen.
Jeans,die,jeans,Nicht nur junge Leute tragen Jeans.
jeder,,each; every,Das Restaurant hat jeden Tag geöffnet.
jederzeit,,anytime; at any time,Sie können mich jederzeit anrufen.
jedes Mal,,each time; every time,Inge erzählt die Geschichte jedes Mal anders.
jedoch,,however,"Sie ruft immer wieder an, jedoch ohne Erfolg."
jemals,,ever,"Hast du jemals von dem Problem gehört? – Nein, nie."
jemand,,someone; somebody,Hat jemand einen Bleistift für mich?
jetzt,,now,Ich muss jetzt gehen.
jeweils,,respectively; each time,Der Kurs findet jeweils montags und donnerstags um 18 Uhr statt.
Journalist,der,journalist,Der Journalist steht auf meiner Liste.
Journalistin,die,female journalist,Die Journalistin kommt in der Prüfung vor.
Jugend,die,youth,In meiner Jugend habe ich mich sehr für Musik interessiert.
Jugendliche,der,young person; teenager,Der Jugendliche passt gut zu diesem Thema.
Jugendliche,die,young person; teenager,Disko. Der Eintritt ist für Kinder und Jugendliche bis 16 Jahre frei.
Jugendherberge,die,youth hostel,Wo habt ihr übernachtet? – In einer Jugendherberge.
jung,,young,Für diesen Film bist du noch zu jung.
Junge,der,boy,", CH: In der Schulklasse sind 15 Jungen und 10 Mädchen."
Kabel,das,cable,Wo ist das Kabel für das Aufnahmegerät?
Kaffee,der,coffee,Bring bitte noch eine Packung Kaffee mit.
Kaffeehaus,das,coffee house; cafe,Hier in der Nähe ist ein Kaffeehaus. Lass uns einen Kaffee trinken.
Kakao,der,cocoa,Zum Frühstück trinke ich immer einen Kakao.
Kalender,der,calendar,Ich habe den Termin in meinem Kalender notiert.
Kälte,die,cold,Die Kälte passt gut zu diesem Thema.
Kamera,die,camera,Ich habe eine ganz neue Kamera.
kämpfen,,to fight; to struggle,Die Frauen kämpfen für mehr Rechte.
Kampf,der,fight; struggle,Im Schulbus gibt es immer einen Kampf um die Sitzplätze.
Kanal,der,channel; canal,Der Kanal ist ein nützliches Wort.
Kandidat,der,candidate,Wie viele Kandidaten kommen zur Prüfung?
Kanne,die,pot; jug,"Das ist aber eine schöne Teekanne. – Ja, die ist aus China."
Kantine,die,cafeteria; canteen,In unserer Kantine kann man günstig essen.
Kapitel,das,chapter,Das Kapitel kommt in der Prüfung vor.
kaputt,,broken,Unsere Waschmaschine ist kaputt.
kaputtgehen,,to break; to stop working,Pass bitte mit diesem Glas auf. Es geht leicht kaputt.
kaputtmachen,,to break; to damage,Wer hat die Lampe kaputtgemacht?
Karneval,der,carnival,Dort hängt mein Kostüm für den Karnevals(um)zug.
Karotte,die,carrot,Hasen fressen gern Karotten.
Karriere,die,career,Mein Bruder hat große Pläne. Er will Karriere machen.
Karte,die,card; map; ticket,Schreibst du mir eine Karte aus dem Urlaub?
Chipkarte,die,chip card; smart card,Ich habe eine Chipkarte für diesen Automaten.
Fahrkarte,die,ticket,Fahrkarten können Sie am Schalter kaufen.
Kartoffel/Erdapfel,die,potato,Kartoffeln esse ich gern.
Käse,der,cheese,Möchtest du Käse aufs Brot?
Kasse,die,checkout; cash register,Zahlen Sie bitte an der Kasse.
Kassette,die,cassette,Meine Eltern besitzen noch viele Musikkassetten.
Kasten,der,crate; box,Kiste Ich habe zwei Kästen Bier gekauft.
Katalog,der,catalog,Ich habe mir ein Kleid aus dem Katalog bestellt.
Katastrophe,die,catastrophe; disaster,Die Überschwemmung war eine Katastrophe.
Kauf,der,purchase; buy,Der neue Esstisch war ein guter Kauf.
Käufer,der,buyer,Der Käufer ist heute wichtig.
kaum,,hardly; barely,Ich kann 'kaum' in einem Satz benutzen.
kein,,no; not a; none,Ich habe leider heute keine Zeit.
kennen,,to know,Kennen Sie hier in der Nähe ein gemütliches Café?
kennenlernen,,to get to know; to meet,Wo habt ihr euch kennengelernt?
Kenntnisse,die,knowledge; skills,In vielen Berufen braucht man heute Sprachkenntnisse.
Kennzeichen,das,license plate; identifying mark,Das Auto hat ein Schweizer Kennzeichen.
Kette,die,chain; necklace,Ich habe zum Geburtstag eine goldene Kette bekommen.
Kind,das,child,Mein Bruder hat zwei Kinder.
Kindergarten,der,kindergarten,Morgens bringe ich meinen Sohn in den Kindergarten.
Kino,das,cinema; movie theater,Wollen wir ins Kino gehen?
Kiosk,der,kiosk; newsstand,Zeitungen bekommst du am Kiosk.
Kirche,die,church,Diese Kirche ist aus dem 15. Jahrhundert.
Kiste,die,box; crate,D: Ich habe zwei Kisten Bier gekauft.
Kissen,das,pillow; cushion,Ohne Kopfkissen kann ich nicht schlafen.
klappen,,to work out; to succeed,Wie war die Reise? – Gut. Es hat alles prima geklappt.
klar,,clear,"Sie müssen noch mehr Deutsch lernen. – Ja, das ist mir klar."
klären,,to clarify,"Ich hoffe, wir können dieses Problem bald klären."
klasse,,great; excellent,Ich finde unseren Lehrer klasse.
Klasse,die,class; grade,In der Klasse sind 24 Schülerinnen und Schüler.
Klassenarbeit,die,class test,Mein Sohn schreibt bei Klassenarbeiten immer gute Noten.
Klavier,das,piano,Meine Tochter möchte Klavier spielen lernen.
kleben,,to stick; to glue,Die Briefmarke klebt nicht mehr.
Kleid,das,dress,Ich habe mir ein neues Kleid gekauft.
Kleidung,die,clothing,Hier brauchen Sie auch im Sommer warme Kleidung.
klein,,small,Unsere Wohnung ist klein.
klettern,,to climb,Die Kinder sind auf den Baum geklettert.
klicken,,to click,"Wenn du die Datei öffnen willst, musst du mit der Maus zweimal klicken."
Klick,der,click,"Um das Wort zu markieren, genügt ein Doppelklick mit der linken Maustaste."
Klima,das,climate,"Alle sagen, dass sich das Klima ändert."
Klimaanlage,die,air conditioning,Im Sommer brauchen wir eine Klimaanlage.
klingeln,,to ring,"Ich glaube, es hat an der Tür geklingelt."
Klingel,die,bell; doorbell,Die Klingel kommt in der Prüfung vor.
klingen,,to sound,"Wollen wir einkaufen gehen und danach zusammen kochen? – Ja, das klingt gut."
Klinik,die,clinic; hospital,"Ich muss in die Klinik, um meinen kranken Onkel zu besuchen."
klopfen,,to knock,Da klopft jemand ans Fenster.
Kloß,der,dumpling,"D, A: Möchten Sie zum Fleisch Kartoffeln oder Klöße? – Klöße, bitte."
klug,,clever; smart,Ich halte sie für klug.
knapp,,scarce; tight; short,Mach schnell. Die Zeit ist knapp.
Kneipe,die,pub; bar,Gehen wir noch in eine Kneipe ein Bier trinken?
Knie,das,knee,Ich habe mich am Knie verletzt. Jetzt kann ich nicht laufen.
Knödel,der,dumpling,Der Knödel steht auf meiner Liste.
Knopf,der,button,An meiner Jacke fehlt ein Knopf.
kochen,,to cook,Dieses Wort heißt 'kochen'.
Koch,der,cook; chef,Der Koch passt gut zu diesem Thema.
Köchin,die,female cook; chef,Die Köchin ist heute wichtig.
Koffer,der,suitcase,Der Koffer steht auf meiner Liste.
Kollegin,die,female colleague,Die Kollegin kommt in der Prüfung vor.
